State,Annual Mean Wage (All Occupations),Average Monthly Rent,Value of $100
Alabama,50620.0,1055.00,114.20
Alaska,66130.0,1507.00,94.90
Arizona,58620.0,1613.00,103.70
Arkansas,48570.0,912.00,115.30
California,73220.0,2032.00,83.60
Colorado,67870.0,1633.00,98.10
Connecticut,69310.0,1533.00,95.00
Delaware,62260.0,1659.00,100.60
Florida,55980.0,1779.00,99.00
Georgia,58000.0,1365.00,106.80
Hawaii,61420.0,2312.00,80.70
Idaho,51350.0,1169.00,107.80
Illinois,63930.0,1151.00,102.60
Indiana,53500.0,1031.00,111.30
Iowa,53520.0,903.00,111.00
Kansas,52850.0,1002.00,110.80
Kentucky,51490.0,974.00,112.60
Louisiana,50940.0,1003.00,112.10
Maine,55960.0,,100.70
Maryland,69750.0,1703.00,92.30
Massachusetts,76600.0,1762.00,89.60
Michigan,58000.0,1093.00,107.70
Minnesota,63640.0,1102.00,102.00
Mississippi,45180.0,1016.00,115.60
Missouri,54520.0,1011.00,111.30
Montana,52220.0,,106.50
Nebraska,55070.0,1023.00,110.50
Nevada,55490.0,1610.00,102.60
New Hampshire,62550.0,1502.00,93.50
New Jersey,70890.0,1783.00,84.00
New Mexico,54400.0,1152.00,108.90
New York,74870.0,1695.00,83.70
North Carolina,56220.0,1234.00,108.30
North Dakota,55800.0,831.00,110.70
Ohio,56530.0,988.00,111.60
Oklahoma,50940.0,1006.00,112.80
Oregon,62680.0,1364.00,97.80
Pennsylvania,58470.0,1135.00,103.00
Rhode Island,64530.0,1416.00,98.70
South Carolina,50650.0,1228.00,108.50
South Dakota,49890.0,959.00,112.20
Tennessee,52820.0,1210.00,110.30
Texas,57300.0,1278.00,103.50
Utah,57360.0,1461.00,103.50
Vermont,59190.0,,96.90
Virginia,65590.0,1510.00,98.70
Washington,72350.0,1694.00,91.60
West Virginia,49170.0,,112.90
Wisconsin,56120.0,1052.00,108.10
Wyoming,54440.0,960.00,107.20
